"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ogt1",2.52153043092846e-34,0.425609334903733,0.209,0.651,4.65045857376136e-30,"6","Ogt"
"Gm26532",4.43787162810591e-34,0.368486481050554,0.124,0.476,8.18476664371573e-30,"6","Gm26532"
"Arhgef40",4.88953497356659e-33,0.258041827323442,0.131,0.493,9.01776935174886e-29,"6","Arhgef40"
"mt-Nd3",7.19846148875472e-33,1.66174734813919,0.692,0.96,1.32761225237103e-28,"6","mt-Nd3"
"Jmjd1c",2.21105937963541e-32,0.418490511515073,0.186,0.591,4.07785681386158e-28,"6","Jmjd1c"
"Uhrf2",4.97153355900056e-32,0.269990146766124,0.127,0.472,9.16899934286473e-28,"6","Uhrf2"
"Tia1",6.13487070366931e-32,0.3250871438161,0.165,0.548,1.13145420387773e-27,"6","Tia1"
"AY036118",1.29526641209473e-31,1.06465845801328,0.745,0.975,2.38885984382632e-27,"6","AY036118"
"Rsrp1",4.22876832009472e-31,0.260744943838911,0.3,0.821,7.7991174127507e-27,"6","Rsrp1"
"Srsf11",1.81028234025443e-30,0.4021523739203,0.291,0.809,3.33870372013124e-26,"6","Srsf11"
"Chd6",6.01494654783604e-30,0.312111918157529,0.141,0.493,1.1093365918174e-25,"6","Chd6"
"Phip",1.53656524281242e-29,0.30858515343094,0.148,0.497,2.83388727731895e-25,"6","Phip"
"Gls1",2.36072924423763e-29,0.351136324760451,0.207,0.61,4.35389294514746e-25,"6","Gls"
"Nbea1",6.48786828401191e-29,0.391593540495802,0.131,0.468,1.19655754762032e-24,"6","Nbea"
"mt-Nd4l",8.9004077505394e-29,1.79368551647226,0.675,0.946,1.64150220143198e-24,"6","mt-Nd4l"
"Fus",1.17447532819843e-28,0.340654664798336,0.342,0.894,2.16608484779637e-24,"6","Fus"
"Rc3h2",2.54617014266864e-28,0.267665453747787,0.108,0.415,4.69590159412377e-24,"6","Rc3h2"
"Stk38",2.55594480086133e-28,0.268459662709831,0.122,0.442,4.71392899622855e-24,"6","Stk38"
